repository	pr	category	status	head_sha	merge_sha	url
akrion-sim/akrion-sim-e2e	1	product-e2e	merged	1be0583010b173b9da5a3f2211aaab1a1d582bc5	fb6eb0f4c42b412f49376e3688991ddb93f1a4dc	https://github.com/akrion-sim/akrion-sim-e2e/pull/1
benefactor-cc/benefactor-e2e	1	product-e2e	merged	d3fb709b16dbcc504085e97bc33ecd1dc9bf3486	aa57912ba1b0d6fd6057afed8d33cc83c0f7e7fc	https://github.com/benefactor-cc/benefactor-e2e/pull/1
StreemPilot/streempilot-e2e	4	product-e2e	merged	a65188130fcc1031e1b68d95078e481a739c2b43	b37c3836089b2eaf25ae9164e2eea19ad4de22a2	https://github.com/StreemPilot/streempilot-e2e/pull/4
ORESoftware/rust-unity-unreal-poc	1	native-e2e	merged	7986c35e486097d51cd99cef2011e03d57cee6f1	ac701fce84f635602e58535180f06dbd44bf686a	https://github.com/ORESoftware/rust-unity-unreal-poc/pull/1
zed-pkg/zed-interfaces	21	package-integrity	merged	40146d69632c23405e87c3462db286412bc02091	cc5ed7339672543c734c5f1fd19f7e017a771854	https://github.com/zed-pkg/zed-interfaces/pull/21
hypesiege/hypesiege-e2e	4	product-e2e	merged	07609a441095552e0da9ccf1792d8154ad77f437	5a77aa45e32b7bb9bacfb9ddab4e2b161ebed3d2	https://github.com/hypesiege/hypesiege-e2e/pull/4
zed-pkg/zed-cli	43	package-integrity	merged	9c8cf3014693bb67e6142bf4731bb0faca6460da	a850dbcc799aeaccf1093741ab58439a049c14c9	https://github.com/zed-pkg/zed-cli/pull/43
memebank/mbk-rest-api	3	api-e2e	merged	6256af082f51e86e4589bf95b5e2df87d7e3d661	d082ed0f3ef31043749e4718de12914e03e5627a	https://github.com/memebank/mbk-rest-api/pull/3
meta-agents-demo/metacog	1	process-e2e	merged	88cb8e481591ce71010fcc47795621f9ce569387	c472f00a257d76d796d6a7156a45ba212d76ad15	https://github.com/meta-agents-demo/metacog/pull/1
cliptown/cliptown-e2e	2	new-e2e-repository	merged	d4796165c3c582563ff30555252e64146828be09	7819d9172cab477a62e96fdeb929d019446d00b2	https://github.com/cliptown/cliptown-e2e/pull/2
memebank/memebank-e2e	2	new-e2e-repository	merged	068801d942aa15b572b0861d3cee0d36be0f509e	7dbb8fe9234b2916eb07505dc42bf4207e0c6ee8	https://github.com/memebank/memebank-e2e/pull/2
meta-agents-demo/metacog-e2e	1	new-e2e-repository	merged	1673395a6698dd8118086c7b00642a3e5872d023	9fdd95ec392cfcac973bca3653ff6503b3f2eb42	https://github.com/meta-agents-demo/metacog-e2e/pull/1
unreal-unity-poc/unreal-unity-poc-e2e	2	new-e2e-repository	merged	53b4d9ef78aeba595e23b2fa409f9e5792f34377	c25027e8b5345bda12e0418b86f2b454ecdde40b	https://github.com/unreal-unity-poc/unreal-unity-poc-e2e/pull/2
declarative-migrations-test/cockroachdb-rollback-e2e	6	database-engine-e2e	merged	8b9b691883071aed0676e9ce08d987eb5e147242	b38feac4da67a61a4d7a6aa3b2d292b0a690eee9	https://github.com/declarative-migrations-test/cockroachdb-rollback-e2e/pull/6
declarative-migrations-test/mysql-shadow-e2e	5	database-engine-e2e	merged	125ebd0ce79d8c9eafa5784d2ed8c24b6cd3d4da	220be6c18f376c94ce021bbfa538cc2c61e9c861	https://github.com/declarative-migrations-test/mysql-shadow-e2e/pull/5
declarative-migrations-test/postgres-lock-contention-e2e	5	database-engine-e2e	merged	d81c96862c55dcbabeed2aff44100d5763cdde1f	7cc28ead37bd3c61cf60e89fc2037bc1d9ba5c09	https://github.com/declarative-migrations-test/postgres-lock-contention-e2e/pull/5
declarative-migrations-test/redshift-advisory-e2e	4	database-engine-e2e	merged	bd2100d1d8bdd510ca30b42fdd59f3ac204941c4	1b3bdcf4912b26a24f635a61aec157131257444a	https://github.com/declarative-migrations-test/redshift-advisory-e2e/pull/4
declarative-migrations-test/schema-change-online-e2e	3	database-engine-e2e	merged	12e6c30a02ee9b711aded65de0e139ae519569d8	11d1697ed2bb172f584f4b96040e90c8c148c1f4	https://github.com/declarative-migrations-test/schema-change-online-e2e/pull/3
declarative-migrations-test/snowflake-advisory-e2e	3	database-engine-e2e	merged	66c89a26d49f92c6c86ed7ec2a38f07b299ee068	8cce9d96ee8008dc6683354eb5f11ff8a364dc84	https://github.com/declarative-migrations-test/snowflake-advisory-e2e/pull/3
declarative-migrations-test/sqlite-migration-e2e	3	database-engine-e2e	merged	ea6cba253f3d52f83046dad21124382eab2ed943	f8c50c757321188cce854346edc2177b9dff5e2a	https://github.com/declarative-migrations-test/sqlite-migration-e2e/pull/3
